Binary ID,Treatment,Daily Fecundity (eggs/female/day),Daily Fecundity (SE),Daily Fecundity (N),Time to Death (days),Time to Death (SE),Time to Death (N),Development Time (days),Development Time (SE),Development Time (N),Mean Bacterial Load (CFUs),Median Bacterial Load (CFUs),Bacterial Load (SE),Bacterial Load (N)
00000,32,2.570,0.282,52,53.25,1.45,80,10.455,0.143,22,0,0,0,48
10000,1,1.881,0.183,65,46.65,1.50,100,11.167,0.177,24,233245.2,224000,21412.19,48
01000,2,1.603,0.194,52,52.18,1.73,80,10.125,0.110,24,475713.6,557000,32052.35,48
00100,3,3.246,0.293,65,52.53,1.52,100,10.542,0.134,24,102760.9,16354,27564.97,48
00010,4,3.803,0.266,65,48.30,1.01,100,10.458,0.104,24,307777.8,196500,45656.13,48
00001,5,4.030,0.334,65,43.16,1.14,100,9.875,0.125,24,279266.4,215500,30165.42,48
11000,6,2.102,0.222,65,50.81,1.67,100,10.167,0.115,24,415122.7,335000,42774.26,48
10100,7,3.708,0.385,65,48.98,1.42,100,10.542,0.134,24,610815.8,460000,73605.2,48
10010,8,3.286,0.224,65,47.79,1.10,100,10.375,0.132,24,482339.1,415000,56584.1,48
10001,9,3.848,0.326,65,43.48,0.99,100,9.833,0.098,24,550973,551500,36135.7,48
01100,10,2.825,0.305,65,50.23,1.19,100,9.875,0.092,24,626507,573000,73698.32,48
01010,11,2.258,0.236,65,45.46,1.08,100,10.292,0.127,24,655588.1,496000,68643.89,48
01001,12,3.801,0.278,65,46.79,1.07,100,9.625,0.118,24,671734.1,684000,52476.82,48
00110,13,3.077,0.285,65,49.99,0.94,100,10.125,0.125,24,272327.3,97948,49718.34,48
00101,14,3.266,0.301,65,50.51,1.31,100,9.958,0.165,24,244283.2,183000,27390.28,48
00011,15,3.850,0.329,65,43.53,1.16,100,9.792,0.134,24,335526.3,262000,31265.07,48
11100,16,2.746,0.296,65,49.35,1.29,100,9.833,0.130,24,564758.4,383500,72509.19,48
11010,17,3.580,0.266,65,43.37,1.23,100,10.167,0.167,24,458931.2,406000,43994.59,48
11001,18,3.161,0.322,65,43.45,1.37,100,9.875,0.110,24,609270.8,595500,40478.28,48
10110,19,3.569,0.294,65,47.89,1.24,100,10.250,0.138,24,558698.8,399500,81079.49,48
10101,20,2.749,0.338,65,46.33,1.19,100,10.125,0.125,24,540701.6,445500,58798.29,48
10011,21,3.569,0.350,65,40.71,0.91,100,9.833,0.130,24,701624.9,694000,44699.98,48
01110,22,3.233,0.347,65,45.53,1.02,100,9.917,0.133,24,512411.5,448000,55433.37,48
01101,23,3.184,0.313,65,46.05,1.13,100,9.583,0.119,24,691866.7,693500,56608.49,48
01011,24,3.556,0.287,65,44.97,0.96,100,9.958,0.127,24,679151.3,699500,52984.19,48
00111,25,3.297,0.305,65,49.72,1.02,100,10.042,0.112,24,314991.7,261000,40342.57,48
11110,26,3.096,0.311,65,45.47,1.14,100,10.000,0.147,24,675268.5,518500,79895.99,48
11101,27,3.006,0.334,65,48.27,1.15,100,9.708,0.153,24,646271.6,595000,45606.76,48
11011,28,3.892,0.310,65,46.15,1.05,100,9.875,0.125,24,740333.3,678000,53132.6,48
10111,29,3.256,0.334,65,43.14,1.01,100,10.042,0.127,24,522501,499000,40042.8,48
01111,30,3.301,0.326,65,42.28,1.11,100,9.792,0.104,24,686145.8,646500,46036.76,48
11111,31,2.988,0.306,65,43.45,1.12,100,10.125,0.110,24,727010.6,715500,53901.44,48
